"scope","item_id","route_key","fixture","obligation","measured","result","finding","roger_named_approval"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","ROUTE_IDENTITY","true","PASS","The exact route key, participant-facing title, statute, and footer identify only this route; no neighboring Kansas route component is carried.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","SOURCE_IDENTITY","true","PASS","All three committed source records match the source receipt by independently recomputed SHA-256 and byte length, and the exact route key occurs once in the route-obligation census.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","COMPONENT_SET","true","PASS","The participant deliverable carries exactly the three components assigned to this route, with no component from the other municipal route.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","KNOWN_PREFILLS","true","PASS","All 7 bound values are extractable from these exact bytes and direct raster inspection found the known prefills readable and unclipped.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","REQUIRED_BEFORE_FILING","true","PASS","All 16 route-specific blanks are classified REQUIRED_BEFORE_FILING and named in participant instructions; requiredFactsNotCollected is zero.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","ROUTE_OPTIONS","true","PASS","The exact route supplies its own statutory-ground prompts and does not ask the participant to choose between the two municipal routes by guesswork.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","REPEATING_ROWS","true","PASS","The focused route-artifact check found no incomplete repeating row.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","PROTECTED_FIELDS","true","PASS","Signature/date lines, case-number-at-filing lines, and every court decision/order line remain blank; the focused check found no protected write.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","ARTIFACTS","true","PASS","The exact participant PDF exists and independently matches the required SHA-256, byte length, and parsed page count.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","PAGE_ORDER","true","PASS","The component sequence is petition, proposed order, then filing instructions, with boundary overflow retained inside the petition run.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","CLIPPING_AND_OVERLAP","true","FAIL","6/6 raster pages contain right-edge clipping; overlap was independently measured on every page and no text-overlap pair was found.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","FILING_DESTINATION","true","PASS","The route-specific filing destination and local-form caveat are present in the participant instructions and the route PDF.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","FEE_AND_WAIVER","true","PASS","The route-specific fee rule and waiver/exemption treatment are present and source-bound.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","SERVICE","true","PASS","The packet states who causes notice and expressly tells the participant not to serve.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::canonical","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","canonical","SELF_HELP_STOP","true","PASS","Route-specific stop conditions are present both in the route PDF and the shared participant instructions.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::boundary","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","boundary","ROUTE_IDENTITY","true","PASS","The exact route key, participant-facing title, statute, and footer identify only this route; no neighboring Kansas route component is carried.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::boundary","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","boundary","SOURCE_IDENTITY","true","PASS","All three committed source records match the source receipt by independently recomputed SHA-256 and byte length, and the exact route key occurs once in the route-obligation census.","PENDING_UNCHECKED"
"participant_deliverable_fixture","rcap-ks-custom-pleading::ks-12-4516-municipal::boundary","obligation:track-pathway:KS:ks-12-4516-municipal:municipal-conviction-or-diversion-expungement-under-12-4516","boundary","COMPONENT_SET","true","PASS","The participant deliverable carries exactly the three components assigned to this route, with no component from the other municipal route.","PENDING_UNCHECKED"
