id,phase,check,pass_criterion,evidence,owner,basis,status
P00-01,P00,Release identity,"Application SHA, worker digest, data/template/source versions, schema/migrations and configuration are identified together; older evidence is not silently reused.","Release tuple, deployment readback and hashes.",G + R,SRC-01; SRC-02,NOT RUN
P00-02,P00,Actual implementation scope,"Join product promises, route/track registries, packet specs, runtime call paths and deployed features; no hidden route or surface is omitted.",Versioned inventory join and missing/extra sets.,G + R,SRC-01; SRC-02,NOT RUN
P00-03,P00,All 51 jurisdictions,All 50 states and DC have a row covering their routes and explicit limits; no historic five-state exemption.,Jurisdiction register and route membership.,G + R,SRC-01; SRC-02,NOT RUN
P00-04,P00,Intended versus active coverage,"Intended support is recorded separately from current enablement, renderability and commercial authority; disabled intended routes remain incomplete.",Scope baseline and enabled/held comparison.,G + R,SRC-01; SRC-02,NOT RUN
P00-05,P00,All route outcomes,"Include packet, waiting, ineligible, needs-information, review, automatic, correspondence, referral, unsupported and escalation branches where present.",Outcome/state graph and case list.,G + R,SRC-01; SRC-02,NOT RUN
P00-06,P00,Local and temporal variants,"Every applicable court type, county/city form override, effective-date branch and document variant is enumerated; no unreviewed local scope claimed.",Variant inventory with sources.,G + R,SRC-01; SRC-02,NOT RUN
P00-07,P00,Surface inventory,"Enumerate URLs, API operations, UI states, redirects, messages, downloads, partner and internal operator surfaces affecting customers.",Route manifest and reachable-surface map.,G + R,SRC-01; SRC-02,NOT RUN
P00-08,P00,Role and channel inventory,"Enumerate anonymous, participant, sponsor, partner admin, staff, reviewer, notary and internal privileges actually implemented, by DTC/RCAP/clinic channel.",Role-action-resource matrix.,G + R,SRC-01; SRC-02,NOT RUN
P00-09,P00,Independent expectations,Legal expected results come from sources; business expectations from the accepted contract; tests do not treat current runtime answers as their own oracle.,Expected-result source links.,G + R,SRC-01; SRC-02,NOT RUN
P00-10,P00,Historical defect reconciliation,Each known build/audit defect is linked to current code/artifact and fix status; changed or reverted fixes are not counted complete.,Known-defect crosswalk including 132 and renderer defects.,G + R,SRC-01; SRC-02,NOT RUN
P00-11,P00,Corpus identity and namespace,Required source bytes resolve at expected hashes and package paths; all-25-CO-present and 513/583 recovery reports are not promoted to a fresh complete mount.,Actual file/hash/path validation for relevant packages.,G + R,SRC-01; SRC-02,NOT RUN
P00-12,P00,Preview and production separation,"Acceptance project, credentials, payment mode, domains and datasets are demonstrably isolated from real users.",Environment assertions and safe fixture namespace.,G + R,SRC-01; SRC-02,NOT RUN
P00-13,P00,Permissions preflight,"Browser/login, repository artifacts, DB evidence, registry and provider access are actually tested once; discovered tools are not counted as access.",Read-only access results and exact outstanding actions.,G + R,SRC-01; SRC-02,NOT RUN
P00-14,P00,Synthetic fixture integrity,"Known expected answers, records and identities are realistic synthetic data; neither admin seeding nor fixtures forge payment, legal or review authority.",Fixture definitions and provenance.,G + R,SRC-01; SRC-02,NOT RUN
P00-15,P00,Evidence completeness,"Each expected artifact, screenshot, page and test case has a retrievable evidence locator; missing/truncated/expired evidence is blocked, not passed.",Evidence manifest and counts.,G + R,SRC-01; SRC-02,NOT RUN
P00-16,P00,Review instance expansion,Every applicable checklist rule is expanded against entity/variant keys; a generic checklist tick is never a nationwide pass.,Case matrix and denominator reconciliation.,G + R,SRC-01; SRC-02,NOT RUN
P00-17,P00,Change and mutation safety,No active mutator is confused with work product; audit candidate is isolated from edits; before/after bytes and process completion are established.,"Process/run IDs, restoration proof and tree state.",G + R,SRC-01; SRC-02,NOT RUN
P00-18,P00,Human and operational dependencies,"Required legal reviewers, assistive-tech/device operators and production owner are named at start; no late undisclosed handoff.",Assignments and access/appointment readiness.,G + R,SRC-01; SRC-02,NOT RUN
P00-19,P00,Performance and support targets,"Existing response/render/load/recovery/support targets are identified; absent targets are explicit decisions, not numbers invented to pass.",Accepted targets and test load definition.,G + R,SRC-01; SRC-02,NOT RUN
P00-20,P00,Resume and evidence reuse,Batch cursor and exact candidate are recorded; reuse only unchanged evidence with applicable scope and current sources.,Checkpoint and dependency hashes.,G + R,SRC-01; SRC-02,NOT RUN
P01-01,P01,Landing promise and coverage,"Public scope, remedies and availability match intended and actually deliverable support; no universal erasure or guaranteed outcome claim.",Rendered pages versus source/coverage register.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-02,P01,Free versus paid boundary,"Free screening and account/Briefcase terms, normal product price and separate government costs are clear and consistent with current approved contract.",EN/ES screenshots of entry/results/review/pricing.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-03,P01,All links and CTAs,"Every navigation link, footer link, button, QR destination and help action reaches the intended actionable surface without dead or placeholder behavior.",Link/action inventory with browser results.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-04,P01,Deep links and redirects,"Saved-item, partner, event and return links preserve exact context and reject unsafe destinations or unrelated accounts.",Allowed/denied redirect cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-05,P01,Public partner pages,"Co-branding, program scope, geography and entry actions match the configured partner; unpublished pages do not leak into public search or sharing.",Profile/page comparison and visibility cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-06,P01,Status and empty/error copy,"Loading, empty, held, error, expired and success states are truthful, understandable and show a usable next step; no internal status tokens.",All distinct state captures.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-07,P01,Claims and testimonials,"Testimonials, clearance counts, attorney-review claims, security badges and response-time promises have supporting records and permission where needed.",Claims register and evidence; no invented endorsements.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-08,P01,Legal/policy screens,"Terms, privacy, disclaimers, data-rights and accessibility statements match actual behavior and approved versions; no unfinished text.",Rendered policy pages and behavior cross-check.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-09,P01,Transactional message inventory,"Invitation, auth, save, payment, ready, failure, cap, clinic and follow-up templates are enumerated in each supported locale.",Template/event/recipient matrix.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-10,P01,Message receipt and timing,"Messages are delivered to the controlled test recipient on the correct event; queued, sent, delivered and failed are not conflated.",Provider events plus test mailbox evidence.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-11,P01,Message privacy,"Subjects, previews, SMS/email bodies and links disclose no unnecessary record, financial or identifier data; safe channel/consent is respected.",Message payload and recipient scope inspection.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-12,P01,Message link lifecycle,"Tokens bind correct user/matter/event, expire/revoke as required and cannot grant staff access after role removal.",Link-use negative and resume cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-13,P01,Wilma current-grounded responses,Supported legal/process answers cite or use the exact current route sources; unsupported facts and uncertainty are not confidently invented.,Versioned question/expected-answer transcript set.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-14,P01,Wilma privacy and isolation,Public chat cannot see private cases; authenticated context cannot cross user/partner/event boundaries.,Cross-context synthetic transcript and access evidence.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-15,P01,Wilma role limits,"Assistant explanations do not claim representation, file a case, decide partner acceptance or promise approval; handoffs match the product contract.",Escalation/refusal and help transcripts.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-16,P01,Wilma prompt injection,"User messages, uploaded documents and retrieved text cannot alter payment/approval authority, exfiltrate secrets or override safety tools.",Adversarial input and tool-call/output evidence.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-17,P01,Wilma failure experience,"Timeout, unavailable model, quota and refused tools preserve answers, avoid duplicate actions and show honest fallback support.",Failure-injection UI and logs.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-18,P01,Support contact path,"Help opens a working channel, carries only permitted context and gives understandable next steps; no unsupported response promise.",Synthetic support submission and readback.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-19,P01,Locale and brand consistency,"Public copy, assistant responses and messages retain the approved brand, plain language and equivalent EN/ES meaning.",Bilingual surface and message review.,G + B + R,SRC-01; SRC-03,NOT RUN
P01-20,P01,Notifications and opt-out,Nonessential follow-up respects consent/opt-out; essential account messages follow the accepted policy and are not silently suppressed.,Consent state transitions and recipient logs.,G + B + R,SRC-01; SRC-03,NOT RUN
P02-01,P02,Exact remedy and statute,"Every track maps to the correct remedy and controlling authority, not a generic expungement label.",Source excerpt and exact route mapping.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-02,P02,Currentness and effective date,Sources are current for the review date and relevant facts; future-effective and prior-law branches are not activated early or lost.,Official source/version and effective-date cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-03,P02,Eligibility predicates,"Each positive requirement, exclusion and exception has independently sourced expected results.",Rule-to-source and case tables.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-04,P02,Timing calculations,"Waiting periods use correct event anchors, completion rules and legal date conventions; just-before/on/after cases pass.",Boundary dates and expected outcomes.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-05,P02,Unknown and conflicting answers,"Missing or contradictory material facts lead to the proper next question or safe review, never invented eligibility.",Unknown/conflict branch cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-06,P02,Automatic versus participant action,Automatic/court/agency processes are distinguished from required participant filings and lawful fallback enforcement.,Actor/trigger/vehicle source comparison.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-07,P02,Instrument choice,"Petition, motion, application, letter, administrative request and appeal/enforcement are selected for their exact procedural role.",Vehicle proof per component.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-08,P02,Official form applicability,Mandatory/pattern/optional state or local form status is established; a similar form title does not prove applicability.,Official form and instructions with source identity.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-09,P02,Court and venue,"Court level, district, county, case mode and filing office match the record and route; ambiguous venues are not guessed.",Venue predicates and fixture outcomes.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-10,P02,Local overrides,Required local forms/rules override only applicable components; unaffected eligibility does not fork for formatting reasons.,All supported local variant source/case pairs.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-11,P02,Preparation and signing roles,"Who prepares, submits, signs, notarizes, serves and decides is individually correct; judge signature does not imply judge-only preparation.",Actor-stage matrix against source.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-12,P02,Required components,"Primary filing, orders, affidavits, service, covers and attachments are complete and staged correctly, without invented extras.",Source-required set versus manifest.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-13,P02,Service and notice,"Recipients, method, deadline anchor, timing and proof are route-specific, including clerk/prosecutor responsibilities.",Service table and workflow cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-14,P02,Execution and verification,"Signature, oath, jurat, unsworn declaration, remote execution and notarization follow source and accepted product requirements without false legal claims.",Execution clauses and signer cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-15,P02,Privacy and identifiers,"Full/redacted DOB, SSN and other identifiers go only to authorized forms or channels; public filings follow actual rules.",Per-field privacy mapping and sources.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-16,P02,Fees and waiver route,"Official costs, waiver criteria/forms, separate record/service charges and unknowns are represented accurately and dated.",Source schedules and expected fee data.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-17,P02,Local submission procedure,"Filing channel, copies, naming/event codes, file size/format and official portal are correct for the supported court.",Published instructions or qualified confirmed local evidence.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
