jurisdiction,form_id,form_title,source_sha256,revision,binary_present,structural_class,defect_categories,technical_disposition,legal_disposition,affected_track_ids,section,route_kinds,any_sellable,any_credit_consumable,owner,post_launch_priority,exact_next_action
AK,ak-record-relief-forms.html,ak-record-relief-forms.html,e85e1adc3462452fe4dbe83ffc28de8cef7528e2f6cb2771e4412abf3aa656f0,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AK ak-record-relief-forms.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AK,DPS-CRI-103,Request to Correct Criminal Justice Information in the Alaska Public Safety Information Network (APSIN),b1de812543a259e425318011dbc5e2bc8b4badf0692da9d12188087ec0e4a259,REV-2022-07-25,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_or_superseded,overlay_implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on AK DPS-CRI-103 and obtain a fresh independent technical and visual approval.
AK,DPS-SEAL-REQ-2-04,Request to Seal Criminal Justice Information,1fb64733f46c397beb69d1da8d72a1f1462669f8dfb7611e86a833c45aa5c80a,REV-2004-02,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence stale_or_superseded,no_fill_instructional_document,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on AK DPS-SEAL-REQ-2-04 and obtain a fresh independent technical and visual approval.
AK,RequestToSealCrimInfo.pdf,RequestToSealCrimInfo.pdf,1fb64733f46c397beb69d1da8d72a1f1462669f8dfb7611e86a833c45aa5c80a,,false,scanned_pdf,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AK RequestToSealCrimInfo.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AK,TF-800,Request to Make Case Records Confidential or Sealed Under Administrative Rule 37.6,94bab52533d74551f7a8ff8644a9671241b38075c7e05f10806d627dfb898cbd,REV-2025-05,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,ak-tf800,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on AK TF-800 and re-render the boundary fixture until no clipping finding remains.
AK,TF-805,Request to Remove Name from Online Public Index (CourtView) Under Administrative Rule 40(b) or (c),96306d64eda397e25094f92c3d67a642372b82cba12f97c6666e5500136e8f54,REV-2025-05,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,ak-tf805,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on AK TF-805 and re-render the boundary fixture until no clipping finding remains.
AK,TF-810,Request to Exclude Case from Online Public Index (CourtView) Under Administrative Rule 40(a) or AS 22.35.030,c5e55ce0c0bb2a008ad9cde5e62c4900f413c8fb64a913e94c81554c64b69582,REV-2025-05,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,ak-courtview,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on AK TF-810 and re-render the boundary fixture until no clipping finding remains.
AL,al-expungement-petition.html,al-expungement-petition.html,fbeb00bc41b8ed948fbbaa31276216849bef70c4cb9cf55e197a414e5725e8b4,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AL al-expungement-petition.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AL,C-94A,Petition for Order of Limited Relief,e7ebe16d45d9a5619fd36f2834d4696efc4c0e7bf3ef42c44fa684906effc2c2,REV-2023-10,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AL C-94A and re-render the boundary fixture until no clipping finding remains.
AL,cr-65-expunge-petition-10-2024.pdf,cr-65-expunge-petition-10-2024.pdf,c2e0c7bd7abca2c83c469d7da1aa0b80b132e653f8712d0b4ce77c8b160b2a39,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AL cr-65-expunge-petition-10-2024.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AL,cr-65a-order-on-petition-for-expungement-10-2024.pdf,cr-65a-order-on-petition-for-expungement-10-2024.pdf,7bae84d50ef27e30458048805e996654736af561db4e0ca3acae250a6fe50a12,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AL cr-65a-order-on-petition-for-expungement-10-2024.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AL,criminal-forms.html,criminal-forms.html,55acbbbee2554b6c57dbae84ad13c7aaa78545521cba341499d1c21c07a9e666,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AL criminal-forms.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AL,criminal-record-expungement.html,criminal-record-expungement.html,021c264e33e7b124273795c68c62b3f5e24d82c28326ed69cb2ebeb4320726bf,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AL criminal-record-expungement.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AL,SBI-FORM-46,Application to Review Alabama Criminal History Record Information,02ce19decc585903f73456371c2f51f8c01b39befa9b9b80560454e901bfb5e7,REV-2017-10-01,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AL SBI-FORM-46 and re-render the boundary fixture until no clipping finding remains.
AR,3-Misdemeanor-Petition-8_01_2023.pdf,3-Misdemeanor-Petition-8_01_2023.pdf,63a308c4fd36a35918249574675c3e83ed47e677cffeae30e09c7e344cfcda23,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AR 3-Misdemeanor-Petition-8_01_2023.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AR,7_Nolle_Prosequi_Dismissed_Acquittal_Petition_2020_F.pdf,7_Nolle_Prosequi_Dismissed_Acquittal_Petition_2020_F.pdf,09f323174881934239734e3a418eb4fec0b4bd0f7e199e8698c3af95a659fa61,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AR 7_Nolle_Prosequi_Dismissed_Acquittal_Petition_2020_F.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AR,AR-ACIC-ORDER-OF-PROBATION-UNDER-ACT-346,Order of Probation Under Act 346 and Act 1460,5e0923268f5c5a0893118ac07bdf6d468190c77ad58ee7db9f077631c996d320,REV-2014-08-25,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-OF-PROBATION-UNDER-ACT-346 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-DISMISS-AND-SEAL-FIRST-OFFENDERS-ACT-346,Order to Dismiss and Seal First Offenders Under Act 346 and Act 1460,70f97584a628507e064540a4bf2830b46162de8f799d2a2a78285db446d15740,REV-2014-01-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-DISMISS-AND-SEAL-FIRST-OFFENDERS-ACT-346 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-DISMISS-AND-SEAL-POST-ADJUDICATION-DRUG-COURT-OFF,Order to Dismiss and Seal Offense in Post-Adjudication Drug Court Proceeding,731fd089f5b019002269ec86905cea946d5841b988102c222edfbd630290eaf2,REV-2014-01-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-DISMISS-AND-SEAL-POST-ADJUDICATION-DRUG-COURT-OFF and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-DISMISS-AND-SEAL-PRE-ADJUDICATION-DRUG-COURT-OFFE,Order to Dismiss and Seal Offense in Pre-Adjudication Drug Court Proceeding,b7532d415611a9fe3046fd6fa1aaf662d93c20ba21bf27a3ab8066c96d63b13e,REV-2014-01-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-DISMISS-AND-SEAL-PRE-ADJUDICATION-DRUG-COURT-OFFE and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-ARREST-UNDER-ACT-1460,Order to Seal Arrest Under Act 1460 of 2013,5bd4ed5bd1b658295b50c2ea7126e276982fd705045f36adfc1f074923722581,REV-2014-01-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-ARREST-UNDER-ACT-1460 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-CONTROLLED-OR-COUNTERFEIT-SUBSTANCE-POSSESSI,Order to Seal Conviction for Possession of Controlled or Counterfeit Substance,b347754fd115adea52068fe5cd267f84021f8f435a7b86c02c3347dd86f9f555,REV-2014-01-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-CONTROLLED-OR-COUNTERFEIT-SUBSTANCE-POSSESSI and re-render the boundary fixture until no clipping finding remains.
