jurisdiction,formNumber,formName,formNameLooksMisextracted,remediationLane,remediationLaneName,activeTrackStatus,affectedTrackIds,trackBindingStatus,candidateRegistryFormId,candidateRegistryTrackIds,routeKinds,rendererKind,packetCapable,participantTreatment,sellable,publicPacketRoute,checkoutSuppressed,paymentSuppressed,packetCreditConsumed,officialSourceUrl,sourcePublisher,sourceRetrievalDate,sourceRevision,sourceSha256,sourceBinaryPresentInClone,sourceBinaryPathInClone,currentnessStatus,missingBinary,structuralClass,interactiveFieldCount,anyFinalizedArtifact,activeContentVerdict,contactSheetShowsAFill,defectCategories,severity,releaseRisk,owner,independentReviewStatus,disposition,dispositionMeaning,acquisitionPriority,acquisitionRule,rootCauseIds,systemicRootCauseIds,familySpecificRootCauseIds,packetCapableTreatment,servedByGuidanceOrDeferral,certifiableArtifacts,labelsAwaitingAPlacementDecision,exactBlocker,exactNextAction,releaseStatus
AK,ak-record-relief-forms.html,ak-record-relief-forms.html,false,B,official_source_acquisition_required,expected_but_absent,,no_track_binding_established,,,,no render strategy recorded,false,,false,false,true,true,false,,,,,e85e1adc3462452fe4dbe83ffc28de8cef7528e2f6cb2771e4412abf3aa656f0,false,,not recorded,true,html_form,,false,no rendered artifact to judge,,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,low,none,Roger (official source acquisition),never_independently_reviewed,official_source_required,"The verified source binary is unavailable, so nothing downstream can be attempted.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT RC-T-NO-FIELD-CENSUS,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT,RC-T-NO-FIELD-CENSUS,false,false,false,0,"The verified binary for AK ak-record-relief-forms.html is not in the clone, and no track binding exists for it: this asset is keyed by filename while the pinned legal-design registry keys packet components by form number, so nothing joins the two and the affected route cannot be stated. No candidate form-number match was found either.","Retrieve the current official AK ak-record-relief-forms.html binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes. Separately, establish which packet component, if any, depends on this asset: no track binding exists and no candidate form-number match was found, so this row cannot currently name the route it affects.",HELD
AK,DPS-CRI-103,Request to Correct Criminal Justice Information in the Alaska Public Safety Information Network (APSIN),false,E,orphaned_or_optional_asset,orphaned_or_optional,,no_track_binding_established,,,,flat_overlay,false,,false,false,true,true,false,,,,REV-2022-07-25,b1de812543a259e425318011dbc5e2bc8b4badf0692da9d12188087ec0e4a259,false,,source_or_currentness_gate_open,false,flat_pdf,0,false,unprovable: object streams hide objects from the residue scan,true,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved rendered_artifact_not_byte_inspectable stale_contact_sheet_manifest_or_review_evidence stale_or_superseded unfinalized_rendered_artifact,low,none,RCAP inventory owner,never_independently_reviewed,archive_candidate,"Source-gated: retained for provenance, never runtime-selectable.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-STALE-OR-SUPERSEDED RC-T-FACTORY-PROVENANCE RC-T-FLAT-GEOMETRY RC-T-OBJECT-STREAMS RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF,RC-S-STALE-OR-SUPERSEDED RC-T-FLAT-GEOMETRY,false,false,false,0,"Nothing is blocked. No active launch track's packet set requires this asset, so it is inventory rather than pending work.","Decide retain, archive or retire for AK DPS-CRI-103 and record the decision. It blocks nothing in the meantime.",HELD
AK,DPS-SEAL-REQ-2-04,Request to Seal Criminal Justice Information,false,E,orphaned_or_optional_asset,orphaned_or_optional,,no_track_binding_established,,,,flat_overlay,false,,false,false,true,true,false,,,,REV-2004-02,1fb64733f46c397beb69d1da8d72a1f1462669f8dfb7611e86a833c45aa5c80a,false,,source_or_currentness_gate_open,false,flat_pdf,0,false,no rendered artifact to judge,,flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_contact_sheet_manifest_or_review_evidence stale_or_superseded,low,none,RCAP inventory owner,never_independently_reviewed,archive_candidate,"Source-gated: retained for provenance, never runtime-selectable.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-STALE-OR-SUPERSEDED RC-T-FLAT-GEOMETRY RC-V-NO-SHEET-PRODUCED,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-V-NO-SHEET-PRODUCED,RC-S-STALE-OR-SUPERSEDED RC-T-FLAT-GEOMETRY,false,false,false,0,"Nothing is blocked. No active launch track's packet set requires this asset, so it is inventory rather than pending work.","Decide retain, archive or retire for AK DPS-SEAL-REQ-2-04 and record the decision. It blocks nothing in the meantime.",HELD
AK,RequestToSealCrimInfo.pdf,RequestToSealCrimInfo.pdf,false,B,official_source_acquisition_required,expected_but_absent,,no_track_binding_established,,,,no render strategy recorded,false,,false,false,true,true,false,,,,,1fb64733f46c397beb69d1da8d72a1f1462669f8dfb7611e86a833c45aa5c80a,false,,not recorded,true,scanned_pdf,,false,no rendered artifact to judge,,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,low,none,Roger (official source acquisition),never_independently_reviewed,official_source_required,"The verified source binary is unavailable, so nothing downstream can be attempted.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT RC-T-FLAT-GEOMETRY RC-T-NO-FIELD-CENSUS,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT,RC-T-FLAT-GEOMETRY RC-T-NO-FIELD-CENSUS,false,false,false,0,"The verified binary for AK RequestToSealCrimInfo.pdf is not in the clone, and no track binding exists for it: this asset is keyed by filename while the pinned legal-design registry keys packet components by form number, so nothing joins the two and the affected route cannot be stated. No candidate form-number match was found either.","Retrieve the current official AK RequestToSealCrimInfo.pdf binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes. Separately, establish which packet component, if any, depends on this asset: no track binding exists and no candidate form-number match was found, so this row cannot currently name the route it affects.",HELD
AK,TF-800,Request to Make Case Records Confidential or Sealed Under Administrative Rule 37.6,false,B,official_source_acquisition_required,active_track,ak-tf800,bound_to_tracks_by_the_committed_relationships,,,exact_supported_deferral,acroform_fill,false,exact_supported_deferral,false,false,true,true,false,,,,REV-2025-05,94bab52533d74551f7a8ff8644a9671241b38075c7e05f10806d627dfb898cbd,false,,candidate_current_source,false,acroform,26,false,unprovable: object streams hide objects from the residue scan,false,clipped_overlapping_or_misplaced contact_sheet_shows_no_fill currentness_unverified held_on_source_or_design never_independently_approved rendered_artifact_not_byte_inspectable stale_contact_sheet_manifest_or_review_evidence unfinalized_rendered_artifact,high,contained_by_terminal_treatment,Roger (official source acquisition),never_independently_reviewed,certification_unproven,Artifacts exist but cannot be certified: their active-content cleanliness or finalization cannot be established from the committed bytes.,2,,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-CURRENTNESS-UNVERIFIED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-CLIPPING RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF RC-V-SHEET-PANELS-IDENTICAL,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-CURRENTNESS-UNVERIFIED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF RC-V-SHEET-PANELS-IDENTICAL,RC-V-CLIPPING,false,true,false,0,"Correcting this asset requires re-rendering it through the current official-form factory, and the verified source binary (SHA-256 94bab52533d74551f7a8ff8644a9671241b38075c7e05f10806d627dfb898cbd) is not present in this clone. The factory renders from the binary; there is nothing to render from.","Retrieve the current official AK TF-800 binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes.",HELD
AK,TF-805,Request to Remove Name from Online Public Index (CourtView) Under Administrative Rule 40(b) or (c),false,B,official_source_acquisition_required,active_track,ak-tf805,bound_to_tracks_by_the_committed_relationships,,,exact_supported_deferral,acroform_fill,false,exact_supported_deferral,false,false,true,true,false,,,,REV-2025-05,96306d64eda397e25094f92c3d67a642372b82cba12f97c6666e5500136e8f54,false,,candidate_current_source,false,acroform,17,false,unprovable: object streams hide objects from the residue scan,false,clipped_overlapping_or_misplaced contact_sheet_shows_no_fill currentness_unverified held_on_source_or_design never_independently_approved rendered_artifact_not_byte_inspectable stale_contact_sheet_manifest_or_review_evidence unfinalized_rendered_artifact,high,contained_by_terminal_treatment,Roger (official source acquisition),never_independently_reviewed,certification_unproven,Artifacts exist but cannot be certified: their active-content cleanliness or finalization cannot be established from the committed bytes.,2,,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-CURRENTNESS-UNVERIFIED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-CLIPPING RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF RC-V-SHEET-PANELS-IDENTICAL,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-CURRENTNESS-UNVERIFIED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF RC-V-SHEET-PANELS-IDENTICAL,RC-V-CLIPPING,false,true,false,0,"Correcting this asset requires re-rendering it through the current official-form factory, and the verified source binary (SHA-256 96306d64eda397e25094f92c3d67a642372b82cba12f97c6666e5500136e8f54) is not present in this clone. The factory renders from the binary; there is nothing to render from.","Retrieve the current official AK TF-805 binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes.",HELD
AK,TF-810,Request to Exclude Case from Online Public Index (CourtView) Under Administrative Rule 40(a) or AS 22.35.030,false,B,official_source_acquisition_required,active_track,ak-courtview,bound_to_tracks_by_the_committed_relationships,,,guidance_only,acroform_fill,false,,false,false,true,true,false,,,,REV-2025-05,c5e55ce0c0bb2a008ad9cde5e62c4900f413c8fb64a913e94c81554c64b69582,false,,candidate_current_source,false,acroform,23,false,unprovable: object streams hide objects from the residue scan,false,clipped_overlapping_or_misplaced contact_sheet_shows_no_fill currentness_unverified held_on_source_or_design never_independently_approved rendered_artifact_not_byte_inspectable stale_contact_sheet_manifest_or_review_evidence unfinalized_rendered_artifact,high,contained_by_terminal_treatment,Roger (official source acquisition),never_independently_reviewed,certification_unproven,Artifacts exist but cannot be certified: their active-content cleanliness or finalization cannot be established from the committed bytes.,2,,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-CURRENTNESS-UNVERIFIED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-CLIPPING RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF RC-V-SHEET-PANELS-IDENTICAL,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-CURRENTNESS-UNVERIFIED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF RC-V-SHEET-PANELS-IDENTICAL,RC-V-CLIPPING,false,true,false,0,"Correcting this asset requires re-rendering it through the current official-form factory, and the verified source binary (SHA-256 c5e55ce0c0bb2a008ad9cde5e62c4900f413c8fb64a913e94c81554c64b69582) is not present in this clone. The factory renders from the binary; there is nothing to render from.","Retrieve the current official AK TF-810 binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes.",HELD
AL,al-expungement-petition.html,al-expungement-petition.html,false,B,official_source_acquisition_required,expected_but_absent,,no_track_binding_established,,,,no render strategy recorded,false,,false,false,true,true,false,,,,,fbeb00bc41b8ed948fbbaa31276216849bef70c4cb9cf55e197a414e5725e8b4,false,,not recorded,true,html_form,,false,no rendered artifact to judge,,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,low,none,Roger (official source acquisition),never_independently_reviewed,official_source_required,"The verified source binary is unavailable, so nothing downstream can be attempted.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT RC-T-NO-FIELD-CENSUS,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT,RC-T-NO-FIELD-CENSUS,false,false,false,0,"The verified binary for AL al-expungement-petition.html is not in the clone, and no track binding exists for it: this asset is keyed by filename while the pinned legal-design registry keys packet components by form number, so nothing joins the two and the affected route cannot be stated. No candidate form-number match was found either.","Retrieve the current official AL al-expungement-petition.html binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes. Separately, establish which packet component, if any, depends on this asset: no track binding exists and no candidate form-number match was found, so this row cannot currently name the route it affects.",HELD
AL,C-94A,Petition for Order of Limited Relief,false,E,orphaned_or_optional_asset,orphaned_or_optional,,no_track_binding_established,,,,acroform_fill,false,,false,false,true,true,false,,,,REV-2023-10,e7ebe16d45d9a5619fd36f2834d4696efc4c0e7bf3ef42c44fa684906effc2c2,false,,source_or_currentness_gate_open,false,acroform,39,false,unprovable: object streams hide objects from the residue scan,true,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved rendered_artifact_not_byte_inspectable stale_contact_sheet_manifest_or_review_evidence stale_or_superseded unfinalized_rendered_artifact,low,none,RCAP inventory owner,never_independently_reviewed,archive_candidate,"Source-gated: retained for provenance, never runtime-selectable.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-STALE-OR-SUPERSEDED RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-CLIPPING RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-T-FACTORY-PROVENANCE RC-T-OBJECT-STREAMS RC-T-UNFLATTENED-FIELDS RC-T-VALUES-IN-APPEARANCES RC-V-SHEET-FROM-UNFINALIZED-SOURCE RC-V-SHEET-NO-VISIBILITY-PROOF,RC-S-STALE-OR-SUPERSEDED RC-V-CLIPPING,false,false,false,0,"Nothing is blocked. No active launch track's packet set requires this asset, so it is inventory rather than pending work.","Decide retain, archive or retire for AL C-94A and record the decision. It blocks nothing in the meantime.",HELD
AL,cr-65-expunge-petition-10-2024.pdf,cr-65-expunge-petition-10-2024.pdf,false,B,official_source_acquisition_required,expected_but_absent,,no_track_binding_established_candidate_form_number_match_unconfirmed,CR-65,al-diversion al-felony-dwop al-felony-nonconviction-90 al-misd-conviction al-misd-dwop al-misd-nonconviction-90 al-pardoned-felony al-trafficking,,no render strategy recorded,false,,false,false,true,true,false,,,,,c2e0c7bd7abca2c83c469d7da1aa0b80b132e653f8712d0b4ce77c8b160b2a39,false,,not recorded,true,dirty_acroform,,false,no rendered artifact to judge,,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,low,none,Roger (official source acquisition),never_independently_reviewed,official_source_required,"The verified source binary is unavailable, so nothing downstream can be attempted.",4,do_not_acquire_without_a_named_current_use,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT RC-T-DIRTY-ACROFORM-SOURCE,RC-G-GENERATION-NOT-ALLOWED RC-G-NO-INDEPENDENT-TECHNICAL-APPROVAL RC-G-PRODUCTION-HOLD RC-S-BUNDLE-ABSENT,RC-T-DIRTY-ACROFORM-SOURCE,false,false,false,0,"The verified binary for AL cr-65-expunge-petition-10-2024.pdf is not in the clone, and no track binding exists for it: this asset is keyed by filename while the pinned legal-design registry keys packet components by form number, so nothing joins the two and the affected route cannot be stated. A candidate, unconfirmed, form-number match is AL CR-65 (tracks al-diversion, al-felony-dwop, al-felony-nonconviction-90, al-misd-conviction, al-misd-dwop, al-misd-nonconviction-90, al-pardoned-felony, al-trafficking).","Retrieve the current official AL cr-65-expunge-petition-10-2024.pdf binary from its issuing body, record its URL, retrieval timestamp, publisher, edition date, byte length and SHA-256, and place it at the path its source record pins. Nothing downstream can proceed without those bytes. Separately, confirm or reject the candidate form-number binding to AL CR-65 so this row can name the route it affects.",HELD
