"source_id","status","families","repository_labels","issuing_authority","official_landing_pages","direct_binary_url","final_resolved_url","printed_title","printed_form_number","revision_effective_date","original_filename","mime_type","page_count","byte_length","sha256","scope","relationship","expected_hash_match"
"MO-FI-05","acquired","mo-575-120-identity-theft-correction-set | mo-610-122-arrest-expungement-set | mo-610-140-arrest-set | mo-610-140-conviction-set | mo-art-xiv-marijuana-set | rcap-mo-custom-pleading","FI-05","Missouri Courts / Office of State Courts Administrator","https://www.courts.mo.gov/page.jsp?id=191585 | https://www.courts.mo.gov/page.jsp","https://stlcountycourts.com/forms/associate-civil/confidential-case-filing-information-sheet/","https://stlcountycourts.com/forms/associate-civil/confidential-case-filing-information-sheet/","Confidential Case Filing Information Sheet – Non-Domestic Relations","FI-05","SJRC (04-23); attached Case Types List SJRC (07-23)","Conf Case Filing Info Sheet(FI-05).pdf","application/pdf","4","298649","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","Missouri statewide court form","Shared confidential filing-information component; one acquired file binds to six families.","true"
"MO-CR301","not_acquired","mo-610-145-mistaken-identity-set","CR301","Missouri Courts / Office of State Courts Administrator","https://www.courts.mo.gov/page.jsp?id=191585 | https://www.16thcircuit.org/miscellaneous-forms","","","Petition for Expungement – Mistaken Identity","CR301","","","","","","","Missouri statewide court form","Standalone petition.",""
"DE-FORM-281","acquired","de_discretionary_family_court-set","FORM-281","Delaware Family Court / Delaware Courts","https://courts.delaware.gov/forms/list.aspx?sec=Forms&sub=Expungement+of+Criminal+Records","https://courts.delaware.gov/forms/download.aspx?id=386","https://courts.delaware.gov/forms/download.aspx?id=386","PETITION FOR EXPUNGEMENT OF ADULT RECORD","281","11/26/2025","281 - petition for expungement of adult record 11192025.doc","application/msword","","97280","84300768ad7f0724d6bd85f94bb06a07f18cf512494da9b02492cff838018eda","Delaware statewide Family Court","Standalone parent petition.",""
"DE-FORM-281E","acquired","de_discretionary_family_court-set","FORM-281E","Delaware Family Court / Delaware Courts","https://courts.delaware.gov/forms/list.aspx?sec=Forms&sub=Expungement+of+Criminal+Records","https://courts.delaware.gov/forms/download.aspx?id=107268","https://courts.delaware.gov/forms/download.aspx?id=107268","Adult Expungement Charge Extension Sheet","281E","09/21/2018","281e - adult expungement charge extension sheet 09212018.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","26118","aaca121e3bb4ce51ab9ab4ff6d933138bf7a36b6d97269c02cbf3c0290e87b33","Delaware statewide Family Court","Continuation/charge-extension sheet to Form 281; not a standalone initiating filing.",""
"DE-CIV-EXP-02-A","acquired","de_discretionary_superior_court-set | de_pardon_expungement-set","CIV_EXP_02_A","Delaware Superior Court / Delaware Courts","https://courts.delaware.gov/forms/list.aspx?sec=Forms&sub=Expungement+of+Criminal+Records","https://courts.delaware.gov/forms/download.aspx?id=118538","https://courts.delaware.gov/forms/download.aspx?id=118538","Petition for Expungement of Adult Record","CIV_EXP_02_A","06/12/2024","civ_exp_02_a petition for expungement of adult record.pdf","application/pdf","1","179445","f2820f713b9f8e0fb1c0095886e7184d56fda06eef7f65af014ab48922b7839a","Delaware statewide Superior Court","Shared parent petition; acquire once and bind to two families.",""
"DE-CIV-EXP-02-B","acquired","de_discretionary_superior_court-set","CIV_EXP_02_B","Delaware Superior Court / Delaware Courts","https://courts.delaware.gov/forms/list.aspx?sec=Forms&sub=Expungement+of+Criminal+Records","https://courts.delaware.gov/forms/download.aspx?id=164808","https://courts.delaware.gov/forms/download.aspx?id=164808","~ The charges listed below are a continuation of the Petitioner’s list of charges on the Petition for Expungement of Adult Record to which this form is attached.","CIV_EXP_02_B","06/12/2024","civ_exp_02_b expungement petition form additional charges extension sheet.pdf","application/pdf","1","227057","39b2dd77619f887236be7ebffebc0fa602a2bb1681b1c0aa0f7e4bf5ba92973c","Delaware statewide Superior Court","Continuation/additional-charges sheet to CIV_EXP_02_A.",""
"DE-CIV-EXP-04-A","acquired","de_discretionary_superior_court-set","CIV_EXP_04_A","Delaware Superior Court / Delaware Courts","https://courts.delaware.gov/forms/list.aspx?sec=Forms&sub=Expungement+of+Criminal+Records","https://courts.delaware.gov/forms/download.aspx?id=118518","https://courts.delaware.gov/forms/download.aspx?id=118518","Expungement Order Granting Form","CIV_EXP_04_A","05/29/2024","civ_exp_04_a sc new order granting expungement form.pdf","application/pdf","1","987462","59c3665bbcbf0d22fcf50d7fd1cd9ca688a3c1e3b8e0bea26434f3a389955940","Delaware statewide Superior Court","Proposed/granting-order component.",""
"DE-CIV-EXP-08-A","acquired","de_pardon_expungement-set","CIV_EXP_08_A","Delaware Superior Court / Delaware Courts","https://courts.delaware.gov/forms/list.aspx?sec=Forms&sub=Expungement+of+Criminal+Records","https://courts.delaware.gov/forms/download.aspx?id=119268","https://courts.delaware.gov/forms/download.aspx?id=119268","Expungement New Order Granting after Pardon","CIV_EXP_08_A","05/30/2024","civ_exp_08_a sc new order granting expungement after pardon form.pdf","application/pdf","1","1128070","0f7666ac6877b4d482a71c5303ecb199792f713e3c728adb2308b86945505d5b","Delaware statewide Superior Court","Granting-order component for pardon-based expungement.",""
"DE-SBI-MANDATORY","not_acquired","de_mandatory_expungement-set","DE-SBI-MANDATORY-EXPUNGEMENT-APPLICATION","Delaware State Police, State Bureau of Identification","https://dsp.delaware.gov/expungements/ | https://dsp.delaware.gov/units/","","","","","","","","","","","Delaware statewide SBI administrative process","Agency application, if the issuer currently publishes a distinct downloadable application.",""
"MA-PETITION-EXPUNGEMENT-100K","acquired","ma-expunge-k-set","Petition for Expungement, G.L. c. 276, § 100K","Massachusetts Court System / Massachusetts Probation Service","https://www.mass.gov/how-to/request-a-non-time-based-expungement-of-your-criminal-record | https://www.mass.gov/lists/court-forms-for-criminal-records","https://www.mass.gov/doc/petition-for-expungement-form/download","https://www.mass.gov/doc/petition-for-expungement-form/download","PETITION FOR EXPUNGEMENT Trial Court of","","12/20/2018","jud-Petition-for-Expungement.pdf","application/pdf","2","1387408","19842819786d812c82c0b310aed8a5065e516a95122a59e0662a7ca67159a5ce","Massachusetts statewide court form","Standalone non-time-based § 100K petition.",""
