"family_id","source_id","repository_source_labels","status","sha256","stored_path"
"mo-575-120-identity-theft-correction-set","MO-FI-05","FI-05","acquired","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","sources/MO-FI-05/Conf-Case-Filing-Info-Sheet-FI-05.pdf"
"mo-610-122-arrest-expungement-set","MO-FI-05","FI-05","acquired","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","sources/MO-FI-05/Conf-Case-Filing-Info-Sheet-FI-05.pdf"
"mo-610-140-arrest-set","MO-FI-05","FI-05","acquired","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","sources/MO-FI-05/Conf-Case-Filing-Info-Sheet-FI-05.pdf"
"mo-610-140-conviction-set","MO-FI-05","FI-05","acquired","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","sources/MO-FI-05/Conf-Case-Filing-Info-Sheet-FI-05.pdf"
"mo-art-xiv-marijuana-set","MO-FI-05","FI-05","acquired","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","sources/MO-FI-05/Conf-Case-Filing-Info-Sheet-FI-05.pdf"
"rcap-mo-custom-pleading","MO-FI-05","FI-05","acquired","53f1e04eba653d7ed8e2f2f059e57854d3780845e6364bb6b2a57c7728cd412e","sources/MO-FI-05/Conf-Case-Filing-Info-Sheet-FI-05.pdf"
"mo-610-145-mistaken-identity-set","MO-CR301","CR301","not_acquired","",""
"de_discretionary_family_court-set","DE-FORM-281","FORM-281","acquired","84300768ad7f0724d6bd85f94bb06a07f18cf512494da9b02492cff838018eda","sources/DE-FORM-281/281---petition-for-expungement-of-adult-record-11192025.doc"
"de_discretionary_family_court-set","DE-FORM-281E","FORM-281E","acquired","aaca121e3bb4ce51ab9ab4ff6d933138bf7a36b6d97269c02cbf3c0290e87b33","sources/DE-FORM-281E/281e---adult-expungement-charge-extension-sheet-09212018.docx"
"de_discretionary_superior_court-set","DE-CIV-EXP-02-A","CIV_EXP_02_A","acquired","f2820f713b9f8e0fb1c0095886e7184d56fda06eef7f65af014ab48922b7839a","sources/DE-CIV-EXP-02-A/civ_exp_02_a-petition-for-expungement-of-adult-record.pdf"
"de_pardon_expungement-set","DE-CIV-EXP-02-A","CIV_EXP_02_A","acquired","f2820f713b9f8e0fb1c0095886e7184d56fda06eef7f65af014ab48922b7839a","sources/DE-CIV-EXP-02-A/civ_exp_02_a-petition-for-expungement-of-adult-record.pdf"
"de_discretionary_superior_court-set","DE-CIV-EXP-02-B","CIV_EXP_02_B","acquired","39b2dd77619f887236be7ebffebc0fa602a2bb1681b1c0aa0f7e4bf5ba92973c","sources/DE-CIV-EXP-02-B/civ_exp_02_b-expungement-petition-form-additional-charges-extension-sheet.pdf"
"de_discretionary_superior_court-set","DE-CIV-EXP-04-A","CIV_EXP_04_A","acquired","59c3665bbcbf0d22fcf50d7fd1cd9ca688a3c1e3b8e0bea26434f3a389955940","sources/DE-CIV-EXP-04-A/civ_exp_04_a-sc-new-order-granting-expungement-form.pdf"
"de_pardon_expungement-set","DE-CIV-EXP-08-A","CIV_EXP_08_A","acquired","0f7666ac6877b4d482a71c5303ecb199792f713e3c728adb2308b86945505d5b","sources/DE-CIV-EXP-08-A/civ_exp_08_a-sc-new-order-granting-expungement-after-pardon-form.pdf"
"de_mandatory_expungement-set","DE-SBI-MANDATORY","DE-SBI-MANDATORY-EXPUNGEMENT-APPLICATION","not_acquired","",""
"ma-expunge-k-set","MA-PETITION-EXPUNGEMENT-100K","Petition for Expungement, G.L. c. 276, § 100K","acquired","19842819786d812c82c0b310aed8a5065e516a95122a59e0662a7ca67159a5ce","sources/MA-PETITION-EXPUNGEMENT-100K/jud-Petition-for-Expungement.pdf"
"ma-seal-admin-set","MA-PETITION-TO-SEAL","Petition to Seal","acquired","416f9a1d1a7ade6e71ffe3964a30c2d247bd1aca3982f4ff8e55550a730506ce","sources/MA-PETITION-TO-SEAL/fillable-jud-mps-Petition-to-Seal.pdf"
"ma-seal-decrim-set","MA-PETITION-TO-SEAL","Petition to Seal","acquired","416f9a1d1a7ade6e71ffe3964a30c2d247bd1aca3982f4ff8e55550a730506ce","sources/MA-PETITION-TO-SEAL/fillable-jud-mps-Petition-to-Seal.pdf"
"ma-seal-court-set","MA-TC0057","TC0057","acquired","f83d441b6ddaf1efd02349519256996aea6e7c4bd812f3f1515ba89b58815bb0","sources/MA-TC0057/jud-tc-Petition-to-Seal-Criminal-Records-for-Nolle-Prosequi-or-Dismissal.pdf"
"ky_nonconviction_expungement-set","KY-AOC-497","AOC-497","acquired","715c00db62e19f07f7dedde68e89309027f4ed9566198a3617cb9bb34a98368b","sources/KY-AOC-497/497.pdf"
"ky_nonconviction_expungement-set","KY-AOC-497.2","AOC-497.2","acquired","080acd68f99ff84afb9b1d08721b5dbff516b8531f0ce53ca7ffc030e80f19e4","sources/KY-AOC-497.2/497.2.pdf"
"ky_protective_order_record_expungement-set","KY-AOC-275.18","AOC-275.18","acquired","b3d8278a85a56c5ac81ed9fedaf9081f5e6f5141d0f561ed6aa6ff4103d2cb51","sources/KY-AOC-275.18/275.18.pdf"
"me-seal-gen-set","ME-CR-218","CR-218","acquired","82a9e8084346aa736cf25dc6c663d511e96e7205900b97a7dc2adc4ceec905d4","sources/ME-CR-218/MJB-Form-cr-218.pdf"
"me-seal-survivor-set","ME-CR-307","CR-307","acquired","c72e74f191a1bddb48453e3094e8a657baabf552299f353acd8bf0d8a418fed1","sources/ME-CR-307/MJB-Form-cr-307.pdf"
"me-seal-survivor-set","ME-CR-308","CR-308","acquired","b2e78f24cb33d52c692d20b5bff3f0ab58115da9f26363df99cf2970f0a645f5","sources/ME-CR-308/MJB-Form-cr-308.pdf"
"wv_acc_treatment_job_readiness-set","WV-SCA-C906","SCA-C906","acquired","43b5606c9faf6fcf4d6f73c1d97cf1bd87798158dee1b6f3381c8a0472b4b64c","sources/WV-SCA-C906/SCA-C906.pdf"
"wv_acc_treatment_job_readiness-set","WV-SCA-C907","SCA-C907","acquired","2a72314146636c4120d87bdfb83f8609e35e9e904eed2f8169bc2375fba30222","sources/WV-SCA-C907/SCA-C907.pdf"
"wv_conv_nonviolent_felony-set","WV-SCA-C907","SCA-C907","acquired","2a72314146636c4120d87bdfb83f8609e35e9e904eed2f8169bc2375fba30222","sources/WV-SCA-C907/SCA-C907.pdf"
"ca-diversion-seal-set","CA-SDSC-CRM-307","SDSC-CRM-307","not_acquired","",""
"co_municipal_conviction_seal-set","CO-JDF-683","JDF-683","acquired","6b451ae32c01ef1e637a460df627d246e1b4a61d4ac4f166005a7349fa87202e","sources/CO-JDF-683/JDF683.pdf"
"co_municipal_conviction_seal-set","CO-JDF-684","JDF-684","acquired","36fc6a2acbfcd7ce032b5a2d43645517aa53541f25c7c5395dd782395d67f874","sources/CO-JDF-684/JDF-20684-20Order-20Denying-20Petition-20to-20Seal-20Criminal-20Conviction-20Municipal-20Records.pdf"
"co_municipal_conviction_seal-set","CO-JDF-686-RECONCILIATION","JDF-686","not_acquired","",""
"ga-nonconv-pre2013-set","GA-GCIC-PRE-2013-RESTRICTION-REQUEST","GBI-GCIC-REQUEST-TO-RESTRICT-ARREST-RECORD-PRIOR-TO-07-01-2013","acquired","5fe841de263070f192ddfb0e322e41b2c2a97e8d07e7e643e98fdf780aefa1ab","sources/GA-GCIC-PRE-2013-RESTRICTION-REQUEST/Request-to-Restrict-Record-Application-and-Instructions-form.pdf"
"mt_mmrta_serving-set","MT-MMRTA-FORM-A","MT-FORM-A","acquired","968f68c78ce0d421b3751244bfcbd01c309eb7cea26027845b5e5dc6dbdb003d","sources/MT-MMRTA-FORM-A/form-a.docx"
"mt_mmrta_completed-set","MT-MMRTA-FORM-B","MT-FORM-B","acquired","cb2fa9c3d9f38b0b7b0b11b503b05c91cd61c491ad37b74ea1298a6f12747207","sources/MT-MMRTA-FORM-B/form-b.docx"
"mt_mmrta_completed-set","MT-MMRTA-PROPOSED-ORDER","MT-OCA-MMRTA","acquired","2e38c3c680bc1c10932e017472a39e676ae4a7ad89621790b20a9803b548db7e","sources/MT-MMRTA-PROPOSED-ORDER/proposed-order.docx"
"mt_mmrta_serving-set","MT-MMRTA-PROPOSED-ORDER","MT-OCA-MMRTA","acquired","2e38c3c680bc1c10932e017472a39e676ae4a7ad89621790b20a9803b548db7e","sources/MT-MMRTA-PROPOSED-ORDER/proposed-order.docx"
"mt_mmrta_completed-set","MT-MMRTA-CERTIFICATE-OF-SERVICE","MT-OCA-MMRTA","acquired","d9096c176ca3ac4efb5de0dfd76f0b245ea1487fe1b1b76f265c8a9d6ce6aec9","sources/MT-MMRTA-CERTIFICATE-OF-SERVICE/cert-service.docx"
"mt_mmrta_serving-set","MT-MMRTA-CERTIFICATE-OF-SERVICE","MT-OCA-MMRTA","acquired","d9096c176ca3ac4efb5de0dfd76f0b245ea1487fe1b1b76f265c8a9d6ce6aec9","sources/MT-MMRTA-CERTIFICATE-OF-SERVICE/cert-service.docx"
"mt_mmrta_completed-set","MT-DOJ-CRISS-REMOVAL-REQUEST","EXPUNGEMENTREMOVALREQUESTFORM.DOCX","acquired","4606815523c3d2a77d1874ca3de8909250abd9349f2973230473116c962109a7","sources/MT-DOJ-CRISS-REMOVAL-REQUEST/20240429-Updated-ExpungementRemovalRequestForm.docx"
"mt_mmrta_serving-set","MT-DOJ-CRISS-REMOVAL-REQUEST","EXPUNGEMENTREMOVALREQUESTFORM.DOCX","acquired","4606815523c3d2a77d1874ca3de8909250abd9349f2973230473116c962109a7","sources/MT-DOJ-CRISS-REMOVAL-REQUEST/20240429-Updated-ExpungementRemovalRequestForm.docx"
"nd-regular-pardon-set","ND-SFN-14859","SFN 14859","acquired","b88cb559c375d2443c15dd33c19f3f42387010e494ade28fc25bdbfdd75e8d5b","sources/ND-SFN-14859/North-Dakota-Pardon-Advisory-Board-Application-1.pdf"
"tx_nd_dwi_conviction-set","TX-OCA-411.0736-MODEL-PETITION","OCA Model Petition for an Order of Nondisclosure under § 411.0736","not_acquired","",""
"tx_nd_dwi_conviction-set","TX-OCA-411.0736-MODEL-ORDER","OCA Model Order of Nondisclosure under § 411.0736","not_acquired","",""
"tx_nd_dwi_conviction-set","TX-STATEMENT-INABILITY-TO-AFFORD","Statement of Inability to Afford Payment of Court Costs or an Appeal Bond","acquired","bd17a3fe43d6989d1828c91c9a46c873908c272d8e2e342af35ce8bdb2fab10d","sources/TX-STATEMENT-INABILITY-TO-AFFORD/statement-of-inability-to-afford-payment-of-court-costs-or-an-appeal-bond-bilingual.pdf"
