control_id,category,control_name,control_statement,control_objective,trust_service_criteria,systems_in_scope,accountable_owner,responsible_operator,required_approver,evidence_administrator,frequency,implementation_type,current_status,evidence_maturity,existing_repo_evidence,external_evidence_location,acceptance_criteria,dependencies,secureframe_mapping,legal_approval_required,observation_period_evidence,notes
GOV-01,GOV,Security governance ownership,One named executive owns the security and compliance program.,Establish accountability.,Security,All,Roger Roman,Faith Walls,Roger Roman,Faith Walls,Annual,Administrative,VERIFIED_EXISTING,DESIGN_DOCUMENTED,docs/security/soc2/AUTHORITY_AND_RACI.md,,Named owner recorded and reviewed annually.,,,TO_MAP_IN_SECUREFRAME,No,Annual review minutes
GOV-02,GOV,Policy management,"Every policy has an owner, approver, version and review frequency.",Policies are current and approved.,Security,All,Roger Roman,Faith Walls,Lawrence Blackmon,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,"Policy inventory with owner, approver, version, review date.",CC1,TO_MAP_IN_SECUREFRAME,Yes,Approved policy set with dates,Only src/content/legal/privacy-policy.md exists today.
GOV-03,GOV,Product contract authority,One controlling product contract outranks status reports.,Prevent status documents substituting for evidence.,Processing Integrity,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Per change,Hybrid,VERIFIED_EXISTING,DESIGN_DOCUMENTED,docs/PRODUCT_CONTRACT.md,,Contract present and referenced from AGENTS.md.,,TO_MAP_IN_SECUREFRAME,Yes,Contract version history,
GOV-06,GOV,Control exception register,"Exceptions are recorded with owner, reason, treatment and review date.",No silent exceptions.,Security,All,Roger Roman,Faith Walls,Roger Roman,Faith Walls,Continuous,Administrative,PLANNED,NONE,docs/sprint-control/audit/,SF,Every open exception has a treatment plan and review date.,CC0,TO_MAP_IN_SECUREFRAME,No,Exception register export,
GOV-09,GOV,Compliance-claim approval,"No external SOC 2, privacy or security claim is published without legal approval.",Prevent unsupported claims.,Security,"Marketing, Legal",Lawrence Blackmon,Faith Walls,Lawrence Blackmon,Faith Walls,Per claim,Administrative,PLANNED,DESIGN_DOCUMENTED,docs/security/soc2/COMPANY_CONTROLS_OPERATING_PLAN.md,,Every published claim has a dated legal approval.,,TO_MAP_IN_SECUREFRAME,Yes,Approval records,
RSK-01,RSK,Periodic risk assessment,A documented risk assessment is performed at least annually.,Identify and treat risk.,Security,All,Roger Roman,Faith Walls,Roger Roman,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,"Assessment completed with scope, method, date, participants.",CC3,TO_MAP_IN_SECUREFRAME,No,Assessment record,
RSK-03,RSK,Risk register,"Risks are recorded with score, owner, treatment and due date.",Track treatment.,Security,All,Roger Roman,Faith Walls,Roger Roman,Faith Walls,Quarterly,Administrative,PLANNED,NONE,docs/security/soc2/RISK_REGISTER.csv,SF,"Top risks have owners, treatments and dates.",RSK-01,TO_MAP_IN_SECUREFRAME,No,Register export with review dates,Template only; not seeded with risk decisions.
RSK-08,RSK,Cyber-insurance review,Coverage is reviewed at least annually.,Financial resilience.,Availability,Corporate,Roger Roman,Faith Walls,Roger Roman,Faith Walls,Annual,Administrative,EXTERNAL_ACTION_REQUIRED,NONE,,SF,Current policy reviewed and recorded.,,TO_MAP_IN_SECUREFRAME,Yes,Review record,
AST-01,AST,System and service inventory,All production systems and services are inventoried with owners.,Know the estate.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Quarterly,Administrative,PLANNED,NONE,docs/security/soc2/ASSET_REGISTER.csv,SF,Every production system has a named owner.,CC0,TO_MAP_IN_SECUREFRAME,No,Register export,"Candidates to verify: GitHub, Supabase, Vercel, Stripe, Google Workspace, Secureframe, DNS/registrar, Cloudflare, email delivery, monitoring, support, analytics."
AST-06,AST,Service-account inventory,"Non-human accounts are inventoried, owned and reviewed.",Prevent orphaned privilege.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Quarterly,Administrative,PLANNED,NONE,,SF,Every service account has an owner and a review date.,AST-01,TO_MAP_IN_SECUREFRAME,No,Review export,
